Time_IMU(ms),Acc X[mg],Acc Y[mg],Acc Z[mg],Gyr X[mdps],Gyr Y[mdps],Gyr Z[mdps],Time_GPS(ms),Lat(degrees*10^-7),Long(degrees*10^-7),Alt(mm),SIV
52630,-90,296,-59,-70,-560,-3430
,,,,,,,52977,352938619,-1206456616,116964,12
53131,-39,292,-25,-4340,-280,-210
53632,-61,278,-30,1400,280,-9100
,,,,,,,53980,352938627,-1206456610,116857,12
54133,-94,312,-42,-1680,2240,-3920
54634,-104,310,-49,1610,-210,-980
,,,,,,,54983,352938630,-1206456603,116774,12
55135,-96,309,-73,-1050,-490,-490
55636,-79,309,-65,280,-1960,-2310
,,,,,,,55986,352938636,-1206456596,116637,12
56137,-74,308,-86,70,-2310,-910
56638,-87,306,-65,-210,910,-1750
,,,,,,,56989,352938636,-1206456595,116462,12
57139,-91,307,-58,-1540,980,840
57640,-109,327,-44,1190,-210,350
,,,,,,,57991,352938631,-1206456601,116314,12
58141,-110,342,-44,-350,-1190,-350
58642,-101,330,-32,1260,-1260,-700
,,,,,,,58997,352938626,-1206456608,116202,12
59143,-129,335,-25,1540,1960,-350
59644,-101,360,-94,2730,2240,-1610
,,,,,,,60000,352938619,-1206456612,116131,12
60145,-95,357,-84,560,-1820,3920
60646,-121,378,-68,3920,910,1260
,,,,,,,61003,352938612,-1206456617,116087,12
61147,-119,386,-66,-2170,-770,630
61648,-106,397,-91,770,280,2170
,,,,,,,62003,352938607,-1206456616,116094,12
62149,-120,404,-89,-280,210,-70
62650,-120,394,-106,-630,1470,910
,,,,,,,63006,352938603,-1206456617,116052,12
63151,-149,405,-64,1680,-70,-1680
63652,-152,416,-82,-3080,-700,-1330
,,,,,,,64008,352938599,-1206456620,116043,12
64153,-174,305,-31,-15260,2520,5670
64654,-141,292,-94,-1960,-10990,-420
,,,,,,,65011,352938594,-1206456625,115998,12
65155,-118,226,-2,-4270,-1750,-12460
65656,-99,200,-67,-350,-4760,-4690
,,,,,,,66013,352938589,-1206456624,115960,11
66157,-173,203,-37,700,7070,3430
66658,-167,189,-32,-1330,-840,140
,,,,,,,67015,352938590,-1206456629,115944,11
67159,-131,207,-86,-1540,2590,-11130
67660,-202,183,-73,-6020,980,1680
,,,,,,,68019,352938587,-1206456638,115898,11
68161,-206,-16,-16,25760,-10850,1890
68662,-122,86,-81,-1750,-10640,31570
,,,,,,,69020,352938544,-1206456648,115913,11
69163,-31,49,14,-15190,9870,-1050
69664,-72,-2,38,1190,-1260,-6720
,,,,,,,70025,352938526,-1206456658,115560,12
70165,-55,-103,41,-35070,8960,15260
70666,-93,-260,-74,22190,840,-22120
,,,,,,,71027,352938506,-1206456648,114976,12
71167,-89,-211,63,-13020,1330,-6160
71668,-119,-325,-42,-770,-2940,-4270
,,,,,,,72029,352938493,-1206456649,114675,12
72169,-36,-261,18,18410,-15190,4830
72670,85,-198,-125,11760,-9800,4620
,,,,,,,73031,352938480,-1206456640,114614,11
73171,31,-176,-67,2800,4550,-1120
73672,24,-164,46,13580,7490,5110
,,,,,,,74034,352938470,-1206456658,114363,12
74173,-87,-86,69,-4830,5740,-9240
74674,-35,-76,86,5740,-7070,9450
,,,,,,,75037,352938454,-1206456675,114174,12
75175,60,-208,-50,4550,-15750,-2870
75676,124,-214,129,-7630,1890,280
,,,,,,,76038,352938444,-1206456683,113988,12
76177,109,-49,-27,11900,9170,-33040
76678,69,20,41,-7210,5810,-11690
,,,,,,,77040,352938435,-1206456693,113766,12
77179,138,-88,-5,-840,-2590,2520
77680,68,-114,103,-19180,11620,-19880
,,,,,,,78046,352938430,-1206456704,113543,12
78181,59,-99,43,-70,-350,280
78682,45,-132,38,1540,-3430,-140
,,,,,,,79052,352938428,-1206456716,113348,12
79183,42,-137,-1,-490,490,-2170
79684,52,-160,-19,-5180,-350,3010
,,,,,,,80054,352938422,-1206456724,113173,12
80185,75,-202,-17,-1190,-2590,3290
80686,38,-198,-2,-1470,0,-2450
,,,,,,,81056,352938416,-1206456732,113013,12
81187,42,-223,6,1330,-1820,1470
81688,18,-241,-17,-2800,-420,1470
,,,,,,,82057,352938409,-1206456738,112860,12
82189,23,-253,-27,1960,-1400,1960
82690,27,-249,-14,490,-1540,980
,,,,,,,83059,352938401,-1206456743,112719,12
83191,-10,-228,-53,9870,630,4760
83692,22,-129,22,2520,-7770,-3990
,,,,,,,84064,352938396,-1206456750,112552,12
84193,73,-47,-20,4410,3920,-16450
84694,39,-46,12,2800,1330,-9940
,,,,,,,85063,352938394,-1206456755,112404,12
85195,50,-6,33,3430,-2590,7000
85696,9,-61,253,3570,-13230,3010
,,,,,,,86066,352938392,-1206456762,112281,12
86197,140,23,-6,5460,-4060,11340
86698,118,42,0,2940,-980,-5530
,,,,,,,87070,352938386,-1206456767,112162,12
87199,120,58,4,-1050,840,210
87700,102,62,3,-4200,70,910
,,,,,,,88075,352938382,-1206456772,112016,12
88201,107,38,-17,-2240,-630,-1120
88702,110,21,-5,-1890,210,140
,,,,,,,89077,352938378,-1206456778,111869,12
89203,110,5,15,-2100,1890,-210
89704,95,8,22,-1470,630,-1050
,,,,,,,90081,352938375,-1206456783,111720,12
90205,37,18,-49,-19390,-7560,2660
90706,113,-122,-31,-10430,-13020,8750
,,,,,,,91083,352938372,-1206456790,111581,12
91207,169,-166,-49,2660,1610,4130
91708,150,-203,-5,-630,4760,-4550
,,,,,,,92083,352938369,-1206456796,111463,12
92209,128,-224,70,-4270,2240,-1120
92710,142,-100,-28,-560,-6790,140
,,,,,,,93086,352938365,-1206456801,111372,12
93211,104,-110,26,-3150,-2590,-8610
93712,118,-102,-29,-2590,-630,-7700
,,,,,,,94088,352938363,-1206456807,111270,12
94213,94,-155,-1,3710,-5320,6090
94714,137,-165,-43,-2660,-2730,840
,,,,,,,95093,352938361,-1206456812,111178,12
95215,156,-170,-22,-1260,-1890,2170
95716,177,-179,-10,0,-11270,8400
,,,,,,,96095,352938356,-1206456815,111062,12
96217,158,-187,-4,-3640,-910,-2800
96718,207,-186,-68,-1050,-980,1960
,,,,,,,97107,352938357,-1206456819,110924,13
