dTime_IMU(ms),Acc X[mg],Acc Y[mg],Acc Z[mg],Gyr X[mdps],Gyr Y[mdps],Gyr Z[mdps],Time_GPS(ms),Lat(degrees*10^-7),Long(degrees*10^-7),Alt(mm),SIV
,,,,,,,50978,353628517,-1208698601,-30028,25
51135,-950,273,-1135,-210,-5040,2800
51636,-1004,197,-1157,7630,-1680,-3990
,,,,,,,51983,353628519,-1208698601,-30014,25
52137,-962,238,-1074,2800,8120,-3220
52638,-981,225,-1150,-3920,-9660,1610
,,,,,,,52987,353628521,-1208698601,-30018,25
53139,-979,266,-1050,2030,7210,-3430
53640,-993,176,-1151,10850,39480,5180
,,,,,,,53990,353628521,-1208698600,-30043,25
54141,-981,247,-1083,4130,-13300,2030
54642,-955,276,-1034,3640,23450,-770
,,,,,,,54995,353628520,-1208698600,-30078,25
55143,-953,238,-1120,3430,-840,-5040
55644,-968,242,-994,700,-22400,1750
,,,,,,,55995,353628518,-1208698600,-30109,25
56145,-996,217,-991,6090,33950,-1120
56646,-999,240,-987,-1610,-31290,5670
,,,,,,,57000,353628515,-1208698601,-30100,25
57147,-954,231,-1002,-13650,4690,23100
57648,-912,333,-1112,-1190,1540,-2520
,,,,,,,58003,353628516,-1208698601,-30102,25
58149,-954,376,-1068,-3080,-19670,6510
58650,-932,397,-1045,770,6860,-4340
,,,,,,,59007,353628516,-1208698601,-30110,25
59151,-920,403,-1077,-840,-5250,-70
59652,-931,363,-1106,1750,0,-2520
,,,,,,,60007,353628516,-1208698603,-30129,25
60153,-898,407,-1081,-2870,-2380,-5670
60654,-968,323,-1147,-22190,11060,-7630
,,,,,,,61010,353628517,-1208698602,-30149,25
61155,-894,449,-1112,-17290,-40180,4900
61656,-934,435,-1057,-5040,7700,-910
,,,,,,,62015,353628524,-1208698601,-30183,25
62157,-907,388,-1109,3010,11060,-2450
62658,-1071,263,-1252,10850,10430,-4340
,,,,,,,63016,353628518,-1208698596,-30248,25
63159,-1046,301,-1106,1120,2030,-630
63660,-914,351,-1233,-57120,5810,-6860
,,,,,,,64016,353628506,-1208698598,-30247,24
64161,-878,365,-1296,-40530,13300,-10430
64662,-906,367,-1251,7140,2240,5600
,,,,,,,65020,353628503,-1208698597,-30236,25
65163,-875,426,-1172,11410,-17220,1540
65664,-914,391,-1226,8680,-13020,490
,,,,,,,66019,353628505,-1208698596,-30222,23
66165,-957,345,-1181,1330,-4550,1820
66666,-913,378,-1128,910,1190,-2520
,,,,,,,67024,353628504,-1208698597,-30217,24
67167,-915,336,-1182,-350,-6090,-3640
67668,-919,355,-1228,-6790,-10570,1680
,,,,,,,68027,353628508,-1208698597,-30178,25
68169,-867,404,-967,-630,18690,1260
68670,-906,395,-1228,-6860,6230,-630
,,,,,,,69029,353628511,-1208698597,-30140,25
69171,-902,336,-1265,-2240,3080,-490
